umbral,FAR_%,FRR_%
0.3,0.0,33.33
0.31,0.0,29.41
0.32,0.0,25.49
0.33,0.0,21.57
0.34,0.0,19.61
0.35,0.0,17.65
0.36,0.0,15.69
0.37,0.0,13.73
0.38,0.0,11.76
0.39,0.0,11.76
0.4,1.79,11.76
0.41,5.36,11.76
0.42,7.14,9.8
0.43,7.14,7.84
0.44,12.5,7.84
0.45,21.43,7.84
0.46,35.71,7.84
0.47,44.64,7.84
0.48,48.21,7.84
0.49,50.0,7.84
0.5,55.36,7.84
0.51,58.93,5.88
0.52,60.71,5.88
0.53,62.5,5.88
0.54,62.5,5.88
0.55,66.07,5.88
0.56,67.86,5.88
0.57,71.43,5.88
0.58,78.57,5.88
0.59,83.93,5.88
0.6,87.5,5.88
0.61,87.5,5.88
0.62,89.29,5.88
0.63,91.07,5.88
0.64,91.07,5.88
0.65,92.86,5.88
0.66,94.64,5.88
0.67,96.43,5.88
0.68,96.43,5.88
0.69,96.43,5.88
0.7,96.43,5.88
0.71,96.43,5.88
0.72,96.43,5.88
0.73,96.43,5.88
0.74,96.43,5.88
0.75,96.43,5.88
0.76,98.21,5.88
0.77,98.21,5.88
0.78,98.21,5.88
0.79,98.21,5.88
0.8,100.0,5.88
